equip0,equip1,equip2,equip3,equip4,equip5,equip6,equip7,equip8,equip9,equip10,equip11,equip12,equip13,equip14,equip15,equip16,equip17,equip18,equip19,equip20,equip21,equip22,equip23,equip24,equip25,equip26,equip27,deadline
0.67833,0.32377,0.53103,0.50353,0.46239,0.62087,0.52473,0.38076,0.45342,0.52465,0.58832,0.53551,0.36148,0.53678,0.62422,0.58776,0.47817,0.46202,0.22065,0.61612,0.61254,0.4949,0.41101,0.42623,0.44359,0.32195,0.19533,0.21884,
0.80742,0.3842,0.50981,0.46191,0.53822,0.70146,0.49882,0.43763,0.58347,0.56421,0.66327,0.59029,0.4692,0.63504,0.76684,0.70398,0.50881,0.63137,0.26998,0.65397,0.61288,0.60581,0.57605,0.46053,0.56435,0.28072,0.23209,0.25259,
0.65471,0.31658,0.67333,0.66511,0.47159,0.63227,0.66719,0.39324,0.38932,0.58134,0.60705,0.57392,0.31549,0.54029,0.57962,0.56631,0.54602,0.35563,0.21345,0.69507,0.74829,0.44956,0.29688,0.48434,0.39857,0.43334,0.19453,0.22492,
0.50058,0.27487,0.66485,0.65704,0.49105,0.32572,0.60672,0.38488,0.35854,0.46488,0.39203,0.43548,0.41437,0.63036,0.51915,0.48669,0.55532,0.38047,0.28022,0.5791,0.76761,0.2471,0.29879,0.5695,0.48656,0.30586,0.21704,0.22284,
0.65645,0.33278,0.63011,0.60614,0.52657,0.51744,0.59359,0.42133,0.46417,0.5337,0.53583,0.52729,0.44194,0.64735,0.64294,0.59917,0.55739,0.49157,0.28021,0.64262,0.73413,0.41857,0.41946,0.5398,0.52707,0.32058,0.22905,0.24335,
0.65575,0.31804,0.85795,0.87301,0.48756,0.69503,0.85855,0.41556,0.32125,0.67417,0.66665,0.64719,0.25174,0.5414,0.542,0.5591,0.63581,0.22848,0.19944,0.81668,0.92256,0.42717,0.16233,0.55165,0.33868,0.59187,0.19367,0.23605,
0.20141,0.10597,0.23569,0.23137,0.1785,0.14934,0.21934,0.14184,0.13987,0.17874,0.16429,0.17138,0.14643,0.22335,0.20059,0.18882,0.19895,0.14556,0.097303,0.21919,0.27133,0.11425,0.11825,0.19744,0.17405,0.11722,0.077883,0.081933,
0.89109,0.46026,1.1372,1.1359,0.76418,0.75136,1.085,0.6199,0.55038,0.85354,0.79096,0.81311,0.55099,0.92694,0.83725,0.81417,0.90753,0.51808,0.38672,1.0462,1.2742,0.51557,0.4022,0.86684,0.67349,0.6435,0.32439,0.35615,
-1.71E-17,-8.24E-18,4.32E-17,5.13E-17,-8.32E-18,5.78E-18,4.61E-17,-3.67E-18,-3.40E-17,1.57E-17,4.63E-18,9.52E-18,-3.15E-17,-1.59E-17,-2.89E-17,-1.80E-17,1.46E-17,-5.35E-17,-1.15E-17,2.22E-17,3.73E-17,-1.87E-17,-5.41E-17,8.11E-18,-3.25E-17,4.23E-17,-6.08E-18,-2.68E-18,
0.84436,0.47775,1.6387,1.6839,0.91335,0.64911,1.5387,0.73408,0.45295,1.0236,0.78366,0.91616,0.59847,1.1415,0.80545,0.8196,1.2106,0.35787,0.47823,1.2982,1.8018,0.32392,0.1885,1.1998,0.73274,0.90557,0.38754,0.42125,
0.45538,0.26535,0.80905,0.81872,0.51614,0.27245,0.73746,0.40383,0.30177,0.50082,0.3685,0.44889,0.40582,0.67024,0.47719,0.46054,0.63309,0.29871,0.29622,0.63827,0.91488,0.16451,0.20258,0.6565,0.47813,0.38517,0.22695,0.2334,
0.78443,0.3626,0.47715,0.43509,0.48244,0.74407,0.48526,0.40109,0.53504,0.55712,0.6782,0.58695,0.38773,0.54532,0.71336,0.66484,0.46404,0.55576,0.22123,0.64021,0.56051,0.6165,0.51289,0.39306,0.47796,0.30809,0.20275,0.23045,
