equip0,equip1,equip2,equip3,equip4,equip5,equip6,equip7,equip8,equip9,equip10,equip11,equip12,equip13,equip14,equip15,equip16,equip17,equip18,equip19,equip20,equip21,equip22,equip23,equip24,equip25,equip26,equip27,deadline
0.42677,0.39933,0.41926,0.45199,0.40726,0.42015,0.42193,0.41005,0.40132,0.40166,0.40558,0.41053,0.40101,0.40102,0.41061,0.40086,0.41022,0.40737,0.40419,0.39837,0.40247,0.40921,0.44789,0.40492,0.40733,0.39926,0.41125,0.40747,
0.41979,0.39655,0.42647,0.41448,0.43165,0.41823,0.42301,0.40221,0.39545,0.3939,0.39812,0.4031,0.39386,0.3919,0.40032,0.39264,0.40164,0.39748,0.398,0.39355,0.39872,0.40113,0.42506,0.39695,0.4005,0.39171,0.39757,0.40217,
0.39955,0.41398,0.41493,0.40221,0.41556,0.39916,0.38192,0.39304,0.39505,0.40142,0.40283,0.39492,0.39536,0.38762,0.40681,0.39214,0.38812,0.39272,0.40325,0.3936,0.41476,0.39808,0.38959,0.3969,0.39257,0.39542,0.40722,0.40791,
0.94061,0.87438,0.96914,1.1284,0.85675,0.94619,0.93164,0.89784,0.88034,0.88043,0.88159,0.88763,0.89214,0.89506,0.84938,0.86588,0.89507,0.90864,0.87808,0.88471,0.87947,0.91556,1.2385,0.91446,0.88808,0.87964,0.87597,0.94492,
0.40312,0.38957,0.38729,0.39328,0.39224,0.39181,0.39228,0.39496,0.39727,0.38794,0.39231,0.39489,0.38324,0.38192,0.40547,0.38984,0.39352,0.38723,0.39038,0.38203,0.3913,0.39291,0.38716,0.38599,0.39197,0.38457,0.39881,0.38315,
0.40975,0.41503,0.42132,0.41596,0.4155,0.40849,0.3965,0.40368,0.41204,0.40514,0.40619,0.4018,0.40086,0.39613,0.40608,0.40199,0.39824,0.40085,0.40567,0.40084,0.41495,0.40937,0.43451,0.40595,0.40076,0.40122,0.40653,0.41472,
0.91587,0.95099,1.0491,0.85617,1.0905,0.95221,0.92334,0.90176,0.93905,0.89677,0.90079,0.88873,0.90243,0.87983,0.8737,0.84715,0.87341,0.89082,0.91011,0.90306,0.94997,0.90503,0.90131,0.90919,0.88972,0.89165,0.87016,0.95796,
0.90183,0.8736,0.91845,0.91849,0.90755,0.8985,0.89354,0.8748,0.87687,0.86352,0.86876,0.87194,0.86051,0.85568,0.86749,0.86215,0.86854,0.86693,0.86753,0.86043,0.8759,0.88031,0.96182,0.87152,0.86838,0.85827,0.86768,0.88597,
0.87894,0.89435,0.88071,0.86395,0.88761,0.86912,0.85299,0.87194,0.9027,0.87641,0.87577,0.86993,0.85723,0.8507,0.88048,0.90464,0.8572,0.86,0.87497,0.86489,0.89207,0.8825,0.86091,0.86867,0.86334,0.86825,0.88649,0.87598,
0.93458,0.8989,0.89174,0.87999,0.93924,0.93121,0.99579,0.87463,0.8608,0.92468,0.89476,0.91789,0.85724,0.87504,0.84696,1.2098,0.878,0.87586,0.89841,0.92806,0.88314,0.92402,0.85462,0.88289,0.88624,0.91838,0.93546,0.87195,
0.52423,0.52832,0.51278,0.50089,0.51012,0.51138,0.51362,0.5812,0.73605,0.50593,0.50718,0.52197,0.51278,0.52462,0.50174,0.50827,0.52962,0.53148,0.50643,0.51619,0.52215,0.55664,0.5294,0.53807,0.52747,0.52025,0.49077,0.51926,
0.55478,0.5407,0.59014,0.73352,0.52298,0.5663,0.53487,0.53341,0.51396,0.53762,0.53697,0.53273,0.54175,0.53686,0.5248,0.50346,0.51916,0.55101,0.5428,0.52589,0.55061,0.52877,0.54392,0.54187,0.52237,0.53328,0.56367,0.57075,
