equip0,equip1,equip2,equip3,equip4,equip5,equip6,equip7,equip8,equip9,equip10,equip11,equip12,equip13,equip14,equip15,equip16,equip17,equip18,equip19,equip20,equip21,equip22,equip23,equip24,equip25,equip26,equip27,deadline
0.78321,0.98455,1.161,0.93172,0.94476,0.87196,0.8771,0.9474,0.71737,1.08,0.81699,0.98916,0.96238,0.90583,0.96955,0.84134,1.0681,0.99629,0.69932,0.85435,0.8186,2.6992,1.0322,0.93883,0.87186,0.79843,0.86414,0.86309,
0.41251,0.39896,0.45855,0.40379,0.39916,0.39298,0.39367,0.41274,0.41133,0.39418,0.40943,0.44314,0.3845,0.39516,0.41419,0.39831,0.39394,0.42457,0.38853,0.39015,0.41053,0.38486,0.40402,0.40443,0.40222,0.40726,0.39042,0.40604,
0.53416,0.52044,0.65252,0.52118,0.52169,0.51607,0.51419,0.52839,0.49678,0.52217,0.53216,0.61577,0.50556,0.52584,0.55194,0.51314,0.52655,0.56104,0.5076,0.51073,0.52348,0.60174,0.52318,0.51696,0.51997,0.53903,0.50694,0.53219,
0.4244,0.41728,0.45506,0.4212,0.42104,0.41315,0.4115,0.42961,0.39819,0.42626,0.42121,0.42503,0.41317,0.41295,0.43554,0.40983,0.42621,0.43497,0.40265,0.40411,0.40974,0.54149,0.43187,0.4202,0.41465,0.41519,0.40612,0.41609,
0.39671,0.39254,0.40846,0.40075,0.39418,0.38571,0.38514,0.41062,0.40643,0.39162,0.39509,0.39191,0.38513,0.38507,0.39421,0.39094,0.3896,0.41232,0.38232,0.38045,0.39801,0.42073,0.40543,0.40326,0.39512,0.386,0.38202,0.39075,
0.87928,0.86545,0.90761,0.88148,0.87129,0.85382,0.85179,0.90216,0.87686,0.86957,0.87399,0.86432,0.85233,0.85157,0.88041,0.85975,0.86634,0.906,0.84349,0.83952,0.86998,0.9744,0.89525,0.88465,0.86888,0.85548,0.8436,0.86282,
0.91045,0.85548,1.027,0.8581,0.85934,0.8507,0.85339,0.87547,0.84639,0.85396,0.89604,0.98542,0.82219,0.8525,0.93088,0.85174,0.85634,0.90374,0.83149,0.84104,0.8722,0.8587,0.86247,0.85336,0.85854,0.89889,0.84436,0.88325,
0.38788,0.38031,0.40692,0.38516,0.38275,0.37506,0.37457,0.39395,0.37646,0.38461,0.38474,0.3852,0.37387,0.37393,0.39344,0.37566,0.38345,0.39637,0.36669,0.36822,0.37891,0.45308,0.39298,0.3857,0.37964,0.3777,0.37065,0.37961,
0.87899,0.88671,0.94842,0.89953,0.88785,0.86616,0.86397,0.91965,0.88799,0.89263,0.87934,0.89745,0.87167,0.87008,0.88914,0.87253,0.88928,0.93303,0.84896,0.85379,0.88449,1.0842,0.91554,0.90386,0.88406,0.86226,0.8556,0.87541,
0.87479,0.82144,0.90836,0.84346,0.83911,0.83723,0.8293,0.85815,0.82817,0.82021,0.86393,0.86681,0.81826,0.83665,0.8608,0.83473,0.82574,0.87568,0.85671,0.82034,0.84116,0.75412,0.84289,0.83799,0.84165,0.85922,0.81756,0.84664,
1.0314,1.033,2.0294,0.95033,0.96771,0.95445,0.97859,0.94813,0.91512,0.98782,1.0453,1.9459,0.86989,1.0526,1.2008,0.96403,1.0136,1.2097,0.84765,1.0026,1.0807,1.1904,0.90816,0.92963,0.98673,1.1651,0.96885,1.1135,
0.43174,0.39824,0.43589,0.40594,0.40549,0.40338,0.40255,0.41484,0.40263,0.39853,0.42291,0.41922,0.39115,0.39905,0.42944,0.4031,0.39928,0.41653,0.40408,0.39527,0.40741,0.36261,0.40843,0.40388,0.40527,0.41876,0.3979,0.41153,
0.40107,0.38979,0.43443,0.39439,0.3918,0.38525,0.38494,0.40289,0.38938,0.39101,0.39774,0.41401,0.38057,0.38576,0.4059,0.38678,0.39073,0.41035,0.37878,0.3797,0.39307,0.43048,0.39909,0.39437,0.39077,0.39356,0.38096,0.39323,
0.42091,0.38986,0.42849,0.39604,0.39605,0.39313,0.39289,0.40492,0.39128,0.39115,0.41232,0.41132,0.38178,0.38889,0.42157,0.3927,0.39151,0.40642,0.39055,0.38534,0.39694,0.37285,0.39976,0.3942,0.39492,0.40813,0.38849,0.40162,
0.54931,0.52828,0.62024,0.53154,0.52905,0.52133,0.5224,0.54261,0.52868,0.52647,0.54387,0.59463,0.50928,0.52407,0.5593,0.52439,0.52695,0.55976,0.51046,0.51623,0.5377,0.55086,0.53462,0.53061,0.52954,0.54302,0.5173,0.53882,
0.40617,0.39754,0.43716,0.40248,0.39944,0.39207,0.39162,0.4113,0.39677,0.39953,0.40333,0.41575,0.38901,0.39248,0.41113,0.39369,0.39889,0.41775,0.38498,0.38618,0.39945,0.45172,0.4082,0.40287,0.39794,0.398,0.38761,0.39902,
0.87493,0.86604,0.98791,0.8756,0.86974,0.85496,0.85128,0.89167,0.84959,0.87115,0.87309,0.93282,0.85028,0.86325,0.8901,0.85521,0.873,0.92096,0.84339,0.84296,0.86721,1.0232,0.88558,0.87437,0.86631,0.86805,0.84093,0.86944,
0.52624,0.51658,0.59202,0.5211,0.51795,0.509,0.50823,0.53139,0.51009,0.51847,0.52363,0.56189,0.50372,0.51271,0.53628,0.5103,0.51894,0.54737,0.49934,0.50253,0.51932,0.59315,0.52689,0.52061,0.51635,0.52064,0.50263,0.52042,
0.38884,0.39104,0.40188,0.3977,0.39242,0.38239,0.38154,0.40732,0.39334,0.39487,0.38809,0.38027,0.38587,0.38177,0.39174,0.38523,0.39253,0.40778,0.37443,0.37584,0.38888,0.48085,0.40644,0.40013,0.38995,0.37785,0.37803,0.38458,
0.85988,0.84792,0.87695,0.86174,0.85515,0.83694,0.83454,0.88188,0.84026,0.86021,0.85365,0.82737,0.83935,0.83237,0.86834,0.8378,0.85671,0.88039,0.82056,0.8196,0.84099,1.034,0.88191,0.86392,0.84683,0.83331,0.82566,0.8411,
0.87313,0.8424,0.91117,0.85884,0.85152,0.83997,0.83679,0.87726,0.85187,0.84367,0.8651,0.86983,0.82989,0.83854,0.87105,0.84318,0.84365,0.88762,0.83817,0.8257,0.85371,0.87818,0.86674,0.85862,0.85121,0.85318,0.82762,0.85187,
0.52183,0.51751,0.58148,0.51979,0.51888,0.50778,0.50714,0.53029,0.49571,0.52639,0.51912,0.54527,0.50716,0.5099,0.5394,0.50576,0.52598,0.54175,0.49056,0.49905,0.50976,0.6743,0.53195,0.51922,0.51214,0.51361,0.50114,0.51556,
0.8773,0.86002,0.95635,0.87367,0.85675,0.83935,0.84249,0.89565,0.91491,0.84324,0.87342,0.93278,0.82537,0.84321,0.87188,0.85952,0.8392,0.9145,0.83023,0.8363,0.8918,0.79394,0.87276,0.87991,0.86811,0.86236,0.83786,0.86788,
0.53284,0.51732,0.60517,0.52157,0.51802,0.51016,0.51032,0.53204,0.51842,0.51528,0.52922,0.57908,0.50052,0.51422,0.5411,0.5134,0.51599,0.55043,0.50175,0.5053,0.52618,0.54698,0.52413,0.52098,0.51898,0.52822,0.50516,0.52571,
0.53237,0.51833,0.55454,0.52678,0.52282,0.51377,0.51247,0.53856,0.51853,0.52203,0.52777,0.52693,0.51039,0.51226,0.53553,0.51517,0.52104,0.5425,0.50715,0.50455,0.52027,0.5832,0.53502,0.52723,0.52035,0.51875,0.50703,0.52008,
0.42969,0.39626,0.52012,0.38842,0.39539,0.39143,0.39568,0.39578,0.36938,0.3998,0.4198,0.49585,0.37251,0.39286,0.45689,0.38785,0.40161,0.41491,0.36784,0.38758,0.39817,0.44564,0.39355,0.38368,0.3906,0.42709,0.39123,0.41402,
0.52494,0.50973,0.60652,0.51114,0.51037,0.50247,0.50273,0.5208,0.49699,0.51173,0.52087,0.57596,0.49336,0.50678,0.54013,0.5025,0.51294,0.54048,0.48937,0.49671,0.5127,0.583,0.51636,0.50934,0.50819,0.52133,0.49704,0.51763,
0.42961,0.39599,0.43057,0.4003,0.40252,0.39882,0.39936,0.40972,0.3888,0.40123,0.41925,0.41088,0.38776,0.39237,0.43531,0.39634,0.40097,0.40732,0.39062,0.3895,0.39806,0.41263,0.40778,0.39805,0.39826,0.4138,0.39479,0.40678,
0.5207,0.50874,0.54565,0.51649,0.51341,0.5044,0.50269,0.52763,0.50291,0.51433,0.51655,0.51587,0.50232,0.50334,0.52595,0.50427,0.51367,0.5322,0.49701,0.4947,0.50767,0.59566,0.52579,0.5165,0.50963,0.50797,0.49695,0.5094,
0.87401,0.8539,1.0138,0.86109,0.85519,0.84299,0.84153,0.87674,0.84951,0.85072,0.87049,0.96661,0.82854,0.85346,0.88844,0.8468,0.85359,0.91452,0.83249,0.83525,0.86736,0.9194,0.86377,0.85914,0.85698,0.87182,0.83214,0.86758,
