equip0,equip1,equip2,equip3,equip4,equip5,equip6,equip7,equip8,equip9,equip10,equip11,equip12,equip13,equip14,equip15,equip16,equip17,equip18,equip19,equip20,equip21,equip22,equip23,equip24,equip25,equip26,equip27,deadline
0.91685,0.874,0.90646,0.87317,0.88925,0.91898,0.87556,0.89056,0.86991,0.87581,0.8828,0.87338,0.87419,0.87945,0.88406,0.86284,0.88074,0.87676,0.89214,0.87319,0.87285,0.88091,0.86491,0.8715,0.87427,0.88308,0.90115,0.86396,
0.40684,0.40322,0.40096,0.40083,0.40174,0.42846,0.40494,0.42296,0.42175,0.40046,0.40359,0.41741,0.39048,0.39842,0.40812,0.39419,0.39937,0.40559,0.39869,0.39921,0.41284,0.40298,0.41055,0.41102,0.40403,0.40617,0.40531,0.40097,
0.65941,0.54573,0.61599,0.54955,0.57153,0.54593,0.55889,0.54501,0.52177,0.52948,0.54123,0.52849,0.55699,0.58153,0.55002,0.54661,0.5339,0.53237,0.5025,0.5771,0.5386,0.56107,0.52806,0.52817,0.53183,0.55207,0.54564,0.53782,
0.41622,0.41538,0.42305,0.41878,0.41635,0.44834,0.41469,0.42319,0.41889,0.41782,0.41515,0.4151,0.4154,0.41385,0.4125,0.41751,0.43721,0.42471,0.42267,0.40837,0.41826,0.4185,0.4217,0.42347,0.42655,0.41123,0.42386,0.41321,
0.39515,0.40447,0.39423,0.40555,0.39728,0.41203,0.40996,0.41007,0.44225,0.39431,0.39443,0.39622,0.39164,0.3938,0.39617,0.40392,0.41137,0.40501,0.38974,0.39406,0.42166,0.4008,0.41354,0.41198,0.40978,0.39302,0.39432,0.40178,
0.88328,0.86725,0.88265,0.86951,0.86644,0.93843,0.87023,0.89987,0.88751,0.86412,0.86459,0.88602,0.85607,0.86785,0.86799,0.86361,0.89225,0.88044,0.85765,0.86018,0.88131,0.87428,0.8781,0.88747,0.88288,0.86381,0.87466,0.8645,
0.93577,0.87336,0.89651,0.86242,0.89507,0.90349,0.87448,0.91147,0.87045,0.87551,0.89333,0.90337,0.85474,0.87635,0.90642,0.83713,0.82414,0.86575,0.8875,0.88365,0.87135,0.87558,0.87494,0.86329,0.84897,0.90812,0.90264,0.86057,
0.38922,0.40302,0.39233,0.42753,0.40764,0.40649,0.39629,0.39252,0.39117,0.41472,0.39077,0.38722,0.39839,0.39223,0.38005,0.42582,0.43884,0.43483,0.38801,0.39733,0.39728,0.40091,0.50981,0.41797,0.42532,0.38944,0.38743,0.4017,
0.88918,0.87196,0.87344,0.88395,0.88326,0.88333,0.87148,0.87749,0.88084,0.87477,0.86777,0.86006,0.85772,0.861,0.86591,0.87145,0.87787,0.8871,0.86572,0.86701,0.87437,0.86933,0.94093,0.87604,0.87694,0.87139,0.87202,0.86226,
0.88286,0.88902,0.87964,0.87094,0.91426,0.88713,0.8778,0.89132,0.88773,0.91201,0.93003,0.87254,0.88245,0.85743,0.925,0.84132,0.84458,0.87721,1.0119,0.86422,0.87496,0.87532,0.85849,0.85489,0.86035,0.92697,0.96403,0.86412,
0.95533,0.92231,0.95808,0.89034,0.88756,1.4004,0.89804,1.2357,0.87517,0.96375,0.97472,1.3343,0.85091,0.9797,1.0308,0.85752,0.9382,1.0063,0.86076,0.95613,0.94941,0.98075,0.95427,1.0853,0.978,1.0117,0.96529,0.97068,
0.43968,0.4082,0.4236,0.40826,0.41946,0.40774,0.4107,0.41019,0.40681,0.40619,0.41108,0.40026,0.40589,0.41067,0.41331,0.40098,0.39717,0.40463,0.40943,0.41234,0.40643,0.40925,0.4118,0.39982,0.40043,0.41486,0.41624,0.40117,
0.40112,0.40448,0.41251,0.40213,0.41452,0.43597,0.39676,0.40952,0.38734,0.42017,0.4215,0.40465,0.41074,0.39865,0.41534,0.39466,0.41459,0.41155,0.45824,0.39382,0.39424,0.40562,0.39496,0.40061,0.40717,0.4158,0.44059,0.39765,
0.41639,0.40391,0.41184,0.40508,0.41199,0.40934,0.40379,0.40309,0.40424,0.4059,0.40743,0.39281,0.40333,0.40067,0.40576,0.39939,0.4047,0.40496,0.41791,0.40043,0.40224,0.40354,0.4089,0.39871,0.40238,0.40679,0.41576,0.39729,
0.56515,0.54649,0.55032,0.54688,0.5586,0.52788,0.54871,0.53815,0.55747,0.54464,0.54921,0.52031,0.54095,0.53716,0.54842,0.53674,0.53193,0.54087,0.56137,0.54196,0.54661,0.54128,0.55645,0.53176,0.53591,0.55073,0.55718,0.53465,
0.43035,0.40461,0.42887,0.40344,0.40815,0.43906,0.40852,0.41551,0.40713,0.40021,0.4049,0.40597,0.40808,0.41368,0.40669,0.4032,0.41836,0.40447,0.40287,0.40546,0.40849,0.41189,0.38222,0.40767,0.40945,0.40323,0.41438,0.40223,
0.90227,0.86837,0.91045,0.87193,0.88514,0.92841,0.86613,0.87407,0.84735,0.8778,0.87925,0.85528,0.88358,0.87642,0.87211,0.8676,0.90503,0.87887,0.90809,0.86183,0.85961,0.8791,0.84981,0.86698,0.88086,0.87091,0.90754,0.85876,
0.53052,0.52025,0.52513,0.52111,0.52094,0.53769,0.52452,0.5287,0.54179,0.5139,0.51607,0.51481,0.51227,0.51631,0.51789,0.51697,0.52597,0.52132,0.51365,0.5148,0.53044,0.52041,0.52474,0.52401,0.5233,0.51587,0.52093,0.51555,
0.40582,0.40298,0.40318,0.4099,0.40459,0.40466,0.40525,0.39903,0.41663,0.39971,0.39542,0.38636,0.39839,0.39709,0.39307,0.40815,0.41545,0.40882,0.39458,0.39746,0.4085,0.4015,0.42841,0.4057,0.40929,0.39403,0.3977,0.39886,
