equip0,equip1,equip2,equip3,equip4,equip5,equip6,equip7,equip8,equip9,equip10,equip11,equip12,equip13,equip14,equip15,equip16,equip17,equip18,equip19,equip20,equip21,equip22,equip23,equip24,equip25,equip26,equip27,deadline
0.91723,0.89965,0.87105,0.92383,0.95802,0.92515,0.91457,0.88539,0.90391,0.8707,0.87808,0.87907,0.87598,0.86435,0.87456,0.87264,0.89033,0.8602,0.87071,0.86725,0.88105,0.86901,1.0545,0.917,0.88819,0.87933,0.86203,0.90866,
0.90139,0.88131,0.89795,0.88567,0.90973,0.8933,0.89443,0.8921,0.87725,0.87987,0.86881,0.87506,0.87439,0.87098,0.88757,0.85899,0.87074,0.88007,0.90154,0.88224,0.89199,0.89753,0.87778,0.86267,0.8748,0.88343,0.88467,0.87366,
0.40946,0.3988,0.44989,0.40295,0.39697,0.39768,0.41084,0.40946,0.39437,0.40232,0.39708,0.39903,0.3985,0.40617,0.40251,0.40167,0.40531,0.40667,0.40738,0.40971,0.40705,0.41897,0.39415,0.39679,0.40589,0.40303,0.40686,0.39035,
0.54739,0.55194,0.54594,0.54539,0.53339,0.52817,0.54025,0.53765,0.5522,0.53044,0.54414,0.53173,0.53263,0.54782,0.52231,0.58594,0.57441,0.51783,0.50707,0.54142,0.52085,0.53755,0.71047,0.61358,0.57824,0.5418,0.52228,0.54093,
0.88228,0.8978,0.87244,0.85821,0.88158,0.86117,0.8598,0.87296,0.8973,0.87012,0.87869,0.86302,0.86684,0.881,0.86798,0.92172,0.90605,0.84747,0.8587,0.88113,0.86084,0.87669,1.0496,0.9567,0.91569,0.89014,0.86598,0.87772,
0.88668,0.90791,0.88053,0.86268,0.91421,0.88892,0.84373,0.88872,0.90298,0.90282,0.87637,0.87457,0.88629,0.8717,0.92295,0.8485,0.85195,0.88325,0.94791,0.89502,0.91051,0.90668,0.84823,0.85798,0.86023,0.9184,0.91775,0.89523,
0.89012,0.8917,0.87583,0.89397,0.90349,0.88785,0.86583,0.87932,0.88922,0.87912,0.86827,0.8664,0.87285,0.86359,0.88817,0.85684,0.86477,0.86597,0.89745,0.87548,0.88476,0.88649,0.94542,0.87805,0.86715,0.88933,0.88215,0.88842,
0.40146,0.40784,0.38024,0.40932,0.40429,0.39975,0.38432,0.39692,0.40713,0.39963,0.39531,0.39167,0.39689,0.39127,0.40338,0.39252,0.39283,0.38953,0.40581,0.39626,0.3986,0.40054,0.45118,0.40589,0.3947,0.40578,0.39932,0.40687,
0.53007,0.51617,0.52038,0.52347,0.51806,0.5171,0.52564,0.52772,0.51269,0.51835,0.51312,0.51545,0.51548,0.51771,0.51973,0.51707,0.51888,0.51965,0.5261,0.52223,0.52144,0.53334,0.521,0.51417,0.5232,0.51908,0.51936,0.50851,
1.019,0.88295,1.0241,0.90507,1.1266,1.0336,1.13,0.96046,0.89135,0.87601,0.90365,0.9498,0.89713,0.90458,0.87616,0.89398,0.95329,0.92846,0.88341,0.89904,0.93547,0.8988,0.85797,0.8982,0.95042,0.85804,0.86856,0.88855,
0.5292,0.51845,0.52219,0.5176,0.52212,0.51747,0.52367,0.52689,0.51531,0.51895,0.51389,0.51548,0.51553,0.51799,0.52112,0.51827,0.51933,0.51862,0.52758,0.52296,0.52213,0.53219,0.52164,0.51727,0.52411,0.52127,0.52069,0.50972,
0.52362,0.53179,0.55136,0.51205,0.5256,0.51746,0.50561,0.52575,0.52748,0.53004,0.51785,0.51577,0.52118,0.52157,0.53716,0.51327,0.51401,0.52267,0.54747,0.53173,0.5334,0.53939,0.51583,0.51636,0.51728,0.53805,0.53845,0.52128,
0.56241,0.54697,0.62605,0.53935,0.62982,0.58409,0.57791,0.53814,0.54961,0.52881,0.52878,0.53737,0.52904,0.52273,0.53818,0.50396,0.53246,0.53034,0.54347,0.52997,0.55288,0.52678,0.5752,0.53195,0.52412,0.53541,0.53493,0.55346,
0.40382,0.39447,0.39361,0.38663,0.38946,0.38767,0.40159,0.40403,0.39186,0.39514,0.39489,0.39439,0.39315,0.40114,0.39378,0.41152,0.40628,0.39523,0.39592,0.40226,0.3942,0.40789,0.40488,0.40831,0.41278,0.39727,0.39478,0.38269,
0.53935,0.53041,0.53018,0.52693,0.54053,0.53177,0.5321,0.53581,0.5278,0.52957,0.52314,0.52528,0.52569,0.52495,0.53381,0.52172,0.52488,0.52786,0.54187,0.53151,0.53438,0.54011,0.52831,0.52313,0.52921,0.53272,0.53215,0.52331,
0.92657,0.92951,1.042,0.8441,1.0834,0.97525,0.93834,0.88853,0.93659,0.88754,0.88501,0.89405,0.88175,0.86902,0.91265,0.84043,0.88154,0.8752,0.92637,0.88757,0.92891,0.86779,0.93746,0.89999,0.87288,0.91191,0.9053,0.93158,
0.54133,0.52182,0.52503,0.55552,0.52003,0.5286,0.53706,0.5372,0.51778,0.52634,0.51968,0.52351,0.52488,0.52332,0.52666,0.51732,0.52339,0.53007,0.53273,0.52752,0.52964,0.54374,0.54108,0.51356,0.52483,0.5235,0.52545,0.52002,
