equip0,equip1,equip2,equip3,equip4,equip5,equip6,equip7,equip8,equip9,equip10,equip11,equip12,equip13,equip14,equip15,equip16,equip17,equip18,equip19,equip20,equip21,equip22,equip23,equip24,equip25,equip26,equip27,deadline
0.53276,0.52263,0.52489,0.53349,0.52234,0.52793,0.52865,0.52115,0.52923,0.5246,0.51675,0.52281,0.51888,0.51362,0.52931,0.51623,0.52115,0.51229,0.53586,0.52358,0.53305,0.53873,0.50788,0.50612,0.52374,0.51428,0.53356,0.52301,
0.52889,0.52124,0.53376,0.52461,0.52441,0.53597,0.53099,0.51955,0.52512,0.5176,0.51655,0.51781,0.52533,0.51758,0.5303,0.52028,0.52296,0.51616,0.51925,0.52401,0.5289,0.53133,0.50923,0.50689,0.5202,0.51299,0.52823,0.52455,
0.41328,0.40604,0.38935,0.4158,0.41206,0.40156,0.41665,0.40293,0.41687,0.40732,0.39944,0.40414,0.4027,0.39293,0.41412,0.40094,0.40914,0.39256,0.40039,0.39685,0.43005,0.41943,0.39502,0.39104,0.41081,0.39701,0.41339,0.41071,
0.40037,0.39362,0.4056,0.39812,0.39295,0.40444,0.39793,0.39302,0.39562,0.39273,0.39034,0.39281,0.39435,0.39108,0.39879,0.39121,0.39257,0.38983,0.40195,0.39825,0.39528,0.40286,0.38355,0.38279,0.39229,0.38816,0.4005,0.39381,
0.55101,0.53606,0.537,0.55834,0.5248,0.53319,0.53106,0.53652,0.54247,0.5475,0.5298,0.54387,0.51969,0.5232,0.53654,0.52067,0.5257,0.5214,0.588,0.54238,0.53785,0.56164,0.51611,0.51747,0.53742,0.52949,0.55465,0.52794,
0.90848,0.89754,0.88786,0.90279,0.91647,0.91029,0.92733,0.89078,0.91409,0.88845,0.88604,0.88621,0.90703,0.88168,0.91971,0.8979,0.91002,0.8805,0.8571,0.88396,0.94025,0.91413,0.87884,0.86953,0.9024,0.87848,0.90575,0.91288,
0.53439,0.5251,0.52982,0.5335,0.52638,0.53319,0.53281,0.52342,0.53114,0.52511,0.51948,0.5239,0.52403,0.51753,0.53282,0.52055,0.52498,0.5162,0.53216,0.52609,0.53558,0.53926,0.51124,0.50912,0.52571,0.51658,0.53466,0.52676,
0.55351,0.54662,0.61812,0.53849,0.5379,0.59447,0.54591,0.54958,0.53316,0.53718,0.54818,0.54417,0.56071,0.56426,0.55143,0.55199,0.54117,0.56099,0.56815,0.57681,0.51113,0.54832,0.5359,0.53946,0.53319,0.54452,0.55251,0.54222,
0.90003,0.87929,0.87022,0.90839,0.87291,0.87534,0.88315,0.87734,0.89368,0.89089,0.86791,0.88515,0.86149,0.85703,0.88664,0.86053,0.87156,0.85483,0.92591,0.87942,0.89888,0.91506,0.85043,0.84867,0.88383,0.86543,0.90358,0.87506,
0.40384,0.40063,0.42901,0.39395,0.4049,0.42619,0.41041,0.39979,0.39837,0.39131,0.39914,0.39447,0.41316,0.4063,0.40938,0.40634,0.40419,0.40487,0.38692,0.40848,0.39758,0.40104,0.39442,0.39288,0.3959,0.3953,0.40181,0.40505,
